"par","value","sd"
"Range",0.532822937826181,0.0157879161420461
"SigmaE",0.666974209748809,0.0182700957174488
"SigmaO",0.690175010357376,0.0278588987994812
"Sigma",0.774224198017839,0.00166222374236942
"cph_t",2.27076858659667,0.259122960402082
"cph_t",2.40310116183841,0.263732565846785
"cph_t",2.54808742313005,0.282410520658185
"cph_t",2.4523414040025,0.274329965049309
"cph_t",2.41384975143301,0.26867339936776
"cph_t",2.1930185720191,0.246873098664434
"cph_t",2.30533127398672,0.255942819345128
"cph_t",2.64219975552337,0.290486158460614
"cph_t",2.79999408541564,0.311658343337804
"cph_t",2.91032658991934,0.325799660228622
"cph_t",2.49859605684113,0.275686921918615
"cph_t",2.1452299570717,0.232928106167196
"cph_t",1.87092527182446,0.199409179282789
"cph_t",1.81307251857486,0.193291760933931
"cph_t",1.31130007980268,0.137811357793362
"cph_t",1.07327896827318,0.112574513807364
"cph_t",0.937042105336087,0.100326631603187
"cph_t",0.913154236410174,0.0980314529493338
